Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
60000,4.84449,-0.54333186,187.0,-1.0,-1.0,0.02240982,0.075428486,0.00029965024,1.0
70000,4.869158,-0.5187702,187.78181818181818,-1.1481481481481481,-1.1481481481481481,0.02149024,0.070911005,0.0002996126,1.0
80000,4.8423824,-0.5047996,162.0,-1.0666666666666667,-1.0666666666666667,0.024379943,0.06643308,0.00029955,1.0
90000,4.854313,-0.5018273,153.8030303030303,-1.0606060606060606,-1.0606060606060606,0.021969222,0.06465183,0.00029948796,1.0
100000,4.768311,-0.5206837,171.01785714285714,-1.1071428571428572,-1.1071428571428572,0.023852032,0.065828726,0.00029942582,1.0
110000,4.7495847,-0.5217211,146.42253521126761,-1.0140845070422535,-1.0140845070422535,0.02405777,0.069606304,0.0002993697,1.0
120000,4.7558475,-0.46133485,189.69230769230768,-1.0,-1.0,0.021712257,0.07101644,0.00029931375,1.0
130000,4.7186546,-0.49658248,165.9344262295082,-1.0666666666666667,-1.0666666666666667,0.02252182,0.06964233,0.00029925117,1.0
140000,4.685779,-0.478619,157.88709677419354,-1.0476190476190477,-1.0476190476190477,0.023182753,0.06656762,0.00029918886,1.0
150000,4.702991,-0.47616917,160.47540983606558,-1.0819672131147542,-1.0819672131147542,0.02892012,0.06611268,0.00029912693,1.0
160000,4.553507,-0.39904815,219.2826086956522,-1.0434782608695652,-1.0434782608695652,0.022441974,0.070221305,0.00029906482,1.0
170000,4.600846,-0.37824258,191.66,-1.04,-1.04,0.021946298,0.0644015,0.00029900874,1.0
180000,4.6348734,-0.41366488,163.609375,-1.0158730158730158,-1.0158730158730158,0.023418033,0.06782868,0.0002989528,1.0
190000,4.5789037,-0.47531924,193.3,-1.0980392156862746,-1.0980392156862746,0.0214291,0.06916714,0.00029889058,1.0
200000,4.6496577,-0.4566078,236.2093023255814,-1.0232558139534884,-1.0232558139534884,0.020673407,0.067413464,0.00029882859,1.0
210000,4.6085715,-0.45998058,186.34,-1.04,-1.04,0.01966014,0.06337935,0.00029876613,1.0
220000,4.4583735,-0.4648595,208.7843137254902,-1.08,-1.08,0.019155784,0.06886579,0.0002987099,1.0
230000,4.3926888,-0.4561736,197.34,-1.0384615384615385,-1.0384615384615385,0.0178467,0.06803641,0.00029865344,1.0
240000,4.356476,-0.3942809,218.83333333333334,-1.0476190476190477,-1.0476190476190477,0.016048284,0.06937548,0.0002985909,1.0
250000,4.393273,-0.38856453,261.075,-1.05,-1.05,0.013868722,0.0658177,0.00029852867,1.0
260000,4.445136,-0.40284443,225.9090909090909,-1.0454545454545454,-1.0454545454545454,0.019023756,0.0638894,0.00029846613,1.0
270000,4.3383803,-0.36952838,189.74074074074073,-1.0,-1.0,0.022224084,0.066935845,0.0002984102,1.0
280000,4.3123727,-0.4268097,261.37142857142857,-1.0285714285714285,-1.0285714285714285,0.016356923,0.07524532,0.00029835428,1.0
290000,4.3120728,-0.38733208,249.425,-1.0,-1.0,0.011470234,0.070405625,0.00029829162,1.0
